预告,#genre#
2024年,http://tang.serv00.net/music/play?&token=235b2292
台灣頻道,#genre#
民視,https://tang.serv00.net/zb/99.php?id=26&token=235b2292
民視,https://tang.serv00.net/zb/99.php?id=336&token=235b2292
民視,https://tang.serv00.net/zb/99.php?id=2805&token=235b2292
台視,https://tang.serv00.net/zb/99.php?id=326&token=235b2292
台視,https://tang.serv00.net/zb/99.php?id=312&token=235b2292
中視,https://tang.serv00.net/zb/99.php?id=333&token=235b2292
中視,https://tang.serv00.net/zb/99.php?id=1041&token=235b2292
華視,https://tang.serv00.net/zb/99.php?id=32&token=235b2292
華視,https://tang.serv00.net/zb/99.php?id=2282&token=235b2292
公視,https://tang.serv00.net/zb/99.php?id=86&token=235b2292
公視,https://tang.serv00.net/zb/99.php?id=28&token=235b2292
好消息,https://tang.serv00.net/zb/99.php?id=104&token=235b2292
客家電視,https://tang.serv00.net/zb/99.php?id=76&token=235b2292
緯來綜合,https://tang.serv00.net/zb/99.php?id=2726&token=235b2292
八大第一,https://tang.serv00.net/zb/99.php?id=318&token=235b2292
八大綜合,https://tang.serv00.net/zb/99.php?id=2286&token=235b2292
三立臺灣,https://tang.serv00.net/zb/99.php?id=35&token=235b2292
三立臺灣,https://tang.serv00.net/zb/99.php?id=21&token=235b2292
三立臺灣,https://tang.serv00.net/zb/99.php?id=2436&token=235b2292
三立都會,https://tang.serv00.net/zb/99.php?id=2435&token=235b2292
三立都會,https://tang.serv00.net/zb/99.php?id=1001&token=235b2292
三立都會,https://tang.serv00.net/zb/99.php?id=38&token=235b2292
華藝綜合,https://tang.serv00.net/zb/99.php?id=342&token=235b2292
東森綜合,https://tang.serv00.net/zb/99.php?id=372&token=235b2292
東森超視,https://tang.serv00.net/zb/99.php?id=80&token=235b2292
東森購物2,https://tang.serv00.net/zb/99.php?id=1156&token=235b2292
中天綜合,https://tang.serv00.net/zb/99.php?id=54&token=235b2292
中天綜合,https://tang.serv00.net/zb/99.php?id=3072&token=235b2292
中天娛樂,https://tang.serv00.net/zb/99.php?id=324&token=235b2292
TVBS歡樂,https://tang.serv00.net/zb/99.php?id=40&token=235b2292
JET綜合,https://tang.serv00.net/zb/99.php?id=41&token=235b2292
東森購物1,https://tang.serv00.net/zb/99.php?id=1155&token=235b2292
TVBS,https://tang.serv00.net/zb/99.php?id=2273&token=235b2292
TVBS,https://tang.serv00.net/zb/99.php?id=16&token=235b2292
緯來育樂,https://tang.serv00.net/zb/99.php?id=338&token=235b2292
緯來育樂（測試）,https://tang.serv00.net/zb/99.php?id=2772&token=235b2292
緯來日本,https://tang.serv00.net/zb/99.php?id=337&token=235b2292
緯來日本,https://tang.serv00.net/zb/99.php?id=46&token=235b2292
國興衛視,https://tang.serv00.net/zb/99.php?id=65&token=235b2292
信大電視,https://tang.serv00.net/zb/99.php?id=422&token=235b2292
八大娱乐,https://tang.serv00.net/zb/99.php?id=105&token=235b2292
公視3台,https://tang.serv00.net/zb/99.php?id=1340&token=235b2292
好消息2,https://tang.serv00.net/zb/99.php?id=363&token=235b2292
高點綜合,https://tang.serv00.net/zb/99.php?id=99&token=235b2292
中天亞洲,https://tang.serv00.net/zb/99.php?id=2277&token=235b2292
中天亞洲,https://tang.serv00.net/zb/99.php?id=322&token=235b2292
民視綜藝,https://tang.serv00.net/zb/99.php?id=98&token=235b2292
民視第一台,https://tang.serv00.net/zb/99.php?id=34&token=235b2292
民視台灣,https://tang.serv00.net/zb/99.php?id=36&token=235b2292
龍華日韓,https://tang.serv00.net/zb/99.php?id=382&token=235b2292
豬哥亮歌廳秀,https://tang.serv00.net/zb/99.php?id=75&token=235b2292
豬哥會社,https://tang.serv00.net/zb/99.php?id=103&token=235b2292
ELTA娛樂台,https://tang.serv00.net/zb/99.php?id=351&token=235b2292
韓國娛樂,https://tang.serv00.net/zb/99.php?id=73&token=235b2292
靖天國際,https://tang.serv00.net/zb/99.php?id=345&token=235b2292
靖天育樂,https://tang.serv00.net/zb/99.php?id=1029&token=235b2292
靖天日本,https://tang.serv00.net/zb/99.php?id=108&token=235b2292
靖天歡樂,https://tang.serv00.net/zb/99.php?id=51&token=235b2292
三立綜合,https://tang.serv00.net/zb/99.php?id=315&token=235b2292
三立綜合,https://tang.serv00.net/zb/99.php?id=2815&token=235b2292
靖天資訊,https://tang.serv00.net/zb/99.php?id=49&token=235b2292
靖天綜合,https://tang.serv00.net/zb/99.php?id=308&token=235b2292
中視經典,https://tang.serv00.net/zb/99.php?id=185&token=235b2292
中視菁采,https://tang.serv00.net/zb/99.php?id=74&token=235b2292
TVBS精采,https://tang.serv00.net/zb/99.php?id=66&token=235b2292
TVBS精采,https://tang.serv00.net/zb/99.php?id=117&token=235b2292
年代much,https://tang.serv00.net/zb/99.php?id=1359&token=235b2292
ELTA綜合,https://tang.serv00.net/zb/99.php?id=1137&token=235b2292
