💐中央频道,#genre#
CCTV-1,http://demo.v2.hls.timetv.cn/live/hndx.m3u8?token=TV35174627HNDX06142105&channel=222
CCTV-2,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_CCTV-2-CQ/G_CCTV-2-CQ.m3u8
CCTV-3,http://demo.v2.hls.timetv.cn/live/hndx.m3u8?token=TV35174627HNDX06142105&channel=337
CCTV-4,http://demo.v2.hls.timetv.cn/live/hndx.m3u8?token=TV35174627HNDX06142105&channel=275
CCTV-5,http://demo.v2.hls.timetv.cn/live/hndx.m3u8?token=TV35174627HNDX06142105&channel=628
CCTV-5+,http://demo.v2.hls.timetv.cn/live/hndx.m3u8?token=TV35174627HNDX06142105&channel=284
CCTV-6,http://demo.v2.hls.timetv.cn/live/hndx.m3u8?token=TV35174627HNDX06142105&channel=215
CCTV-7,http://demo.v2.hls.timetv.cn/live/hndx.m3u8?token=TV35174627HNDX06142105&channel=263
CCTV-8,http://demo.v2.hls.timetv.cn/live/hndx.m3u8?token=TV35174627HNDX06142105&channel=305
CCTV-9,http://demo.v2.hls.timetv.cn/live/hndx.m3u8?token=TV35174627HNDX06142105&channel=302
CCTV-10,http://demo.v2.hls.timetv.cn/live/hndx.m3u8?token=TV35174627HNDX06142105&channel=242
CCTV-11,http://demo.v2.hls.timetv.cn/live/hndx.m3u8?token=TV35174627HNDX06142105&channel=349
CCTV-12,http://demo.v2.hls.timetv.cn/live/hndx.m3u8?token=TV35174627HNDX06142105&channel=232
CCTV-13,http://demo.v2.hls.timetv.cn/live/hndx.m3u8?token=TV35174627HNDX06142105&channel=243
CCTV-14,http://demo.v2.hls.timetv.cn/live/hndx.m3u8?token=TV35174627HNDX06142105&channel=303
CCTV-15,http://demo.v2.hls.timetv.cn/live/hndx.m3u8?token=TV35174627HNDX06142105&channel=294
CCTV-16,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_CCTV-16-CQ/G_CCTV-16-CQ.m3u8
CCTV-17,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_CCTV-17-CQ/G_CCTV-17-CQ.m3u8
中国气象,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
CCTV第一剧场,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_DIYIJC-CQ/G_DIYIJC-CQ.m3u8
CCTV风云剧场,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_FENGYUNJC-CQ/G_FENGYUNJC-CQ.m3u8
CCTV怀旧剧场,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_HUAIJIUJC-CQ/G_HUAIJIUJC-CQ.m3u8
CCTV风云足球,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_FENGSHANGZQ-CQ/G_FENGSHANGZQ-CQ.m3u8
CCTV央视台球,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_TAIQIU-CQ/G_TAIQIU-CQ.m3u8
CCTV兵器科技,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_BINGQIKJ-CQ/G_BINGQIKJ-CQ.m3u8
CCTV风云音乐,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_FENGYUNYY-CQ/G_FENGYUNYY-CQ.m3u8
CCTV高尔夫网球,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_CCTV-GOLF-CQ/G_CCTV-GOLF-CQ.m3u8
